t_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,energy_J,status
340.0,99999999232.9082,10199999.973917922,0.0,-4.51230431551184,29999.999769864,0.0,-877172568.7866362,ok
350.0,99999999187.12158,10499999.97154821,0.0,-4.645019148296704,29999.99975612751,0.0,-877172568.7866366,ok
360.0,99999999140.00781,10799999.969039144,0.0,-4.777733981079455,29999.99974199286,0.0,-877172568.7866364,ok
370.0,99999999091.5669,11099999.966386741,0.0,-4.9104488138600315,29999.99972746005,0.0,-877172568.7866362,ok
380.0,99999999041.79883,11399999.963587018,0.0,-5.043163646638374,29999.999712529083,0.0,-877172568.7866364,ok
390.0,99999998990.70361,11699999.960635995,0.0,-5.175878479414421,29999.999697199954,0.0,-877172568.7866365,ok
400.0,99999998938.28125,11999999.95752969,0.0,-5.308593312188113,29999.999681472666,0.0,-877172568.7866368,ok
410.0,99999998884.53174,12299999.954264121,0.0,-5.44130814495939,29999.99966534722,0.0,-877172568.7866368,ok
420.0,99999998829.45508,12599999.950835306,0.0,-5.57402297772819,29999.999648823614,0.0,-877172568.7866365,ok
430.0,99999998773.05127,12899999.947239265,0.0,-5.706737810494454,29999.99963190185,0.0,-877172568.7866368,ok
440.0,99999998715.32031,13199999.943472015,0.0,-5.839452643258121,29999.999614581928,0.0,-877172568.7866366,ok
450.0,99999998656.2622,13499999.939529575,0.0,-5.972167476019131,29999.999596863843,0.0,-877172568.7866368,ok
460.0,99999998595.87695,13799999.935407965,0.0,-6.104882308777423,29999.9995787476,0.0,-877172568.7866372,ok
470.0,99999998534.16455,14099999.9311032,0.0,-6.237597141532937,29999.9995602332,0.0,-877172568.7866371,ok
480.0,99999998471.125,14399999.9266113,0.0,-6.370311974285613,29999.999541320638,0.0,-877172568.7866372,ok
490.0,99999998406.7583,14699999.921928285,0.0,-6.503026807035391,29999.99952200992,0.0,-877172568.7866371,ok
500.0,99999998341.06445,14999999.917050172,0.0,-6.635741639782209,29999.99950230104,0.0,-877172568.7866373,ok
510.0,99999998274.04346,15299999.91197298,0.0,-6.768456472526007,29999.999482194005,0.0,-877172568.7866373,ok
520.0,99999998205.69531,15599999.906692725,0.0,-6.901171305266725,29999.999461688807,0.0,-877172568.7866373,ok
530.0,99999998136.02002,15899999.901205428,0.0,-7.033886138004304,29999.99944078545,0.0,-877172568.7866377,ok
540.0,99999998065.01758,16199999.895507107,0.0,-7.166600970738681,29999.999419483935,0.0,-877172568.7866378,ok
550.0,99999997992.68799,16499999.88959378,0.0,-7.299315803469797,29999.99939778426,0.0,-877172568.7866375,ok
560.0,99999997919.03125,16799999.883461464,0.0,-7.4320306361975925,29999.999375686428,0.0,-877172568.7866378,ok
570.0,99999997844.04736,17099999.87710618,0.0,-7.5647454689220055,29999.999353190437,0.0,-877172568.7866378,ok
580.0,99999997767.73633,17399999.870523944,0.0,-7.697460301642976,29999.999330296283,0.0,-877172568.7866375,ok
590.0,99999997690.09814,17699999.863710776,0.0,-7.830175134360444,29999.99930700397,0.0,-877172568.7866379,ok
600.0,99999997611.13281,17999999.856662694,0.0,-7.962889967074349,29999.9992833135,0.0,-877172568.7866379,ok
610.0,99999997530.84033,18299999.849375717,0.0,-8.095604799784631,29999.99925922487,0.0,-877172568.786638,ok
620.0,99999997449.2207,18599999.841845863,0.0,-8.228319632491228,29999.999234738083,0.0,-877172568.7866381,ok
630.0,99999997366.27393,18899999.83406915,0.0,-8.361034465194082,29999.999209853137,0.0,-877172568.7866383,ok
640.0,99999997282.0,19199999.826041598,0.0,-8.493749297893132,29999.999184570028,0.0,-877172568.7866385,ok
650.0,99999997196.39893,19499999.817759223,0.0,-8.626464130588316,29999.99915888876,0.0,-877172568.7866385,ok
660.0,99999997109.4707,19799999.809218045,0.0,-8.759178963279574,29999.999132809335,0.0,-877172568.7866387,ok
670.0,99999997021.21533,20099999.80041408,0.0,-8.891893795966846,29999.99910633175,0.0,-877172568.7866387,ok
680.0,99999996931.63281,20399999.791343354,0.0,-9.024608628650071,29999.999079456007,0.0,-877172568.7866387,ok
690.0,99999996840.72314,20699999.782001875,0.0,-9.157323461329192,29999.999052182106,0.0,-877172568.786639,ok
700.0,99999996748.48634,20999999.772385668,0.0,-9.290038294004145,29999.99902451004,0.0,-877172568.7866387,ok
710.0,99999996654.9224,21299999.76249075,0.0,-9.42275312667487,29999.99899643982,0.0,-877172568.7866387,ok
720.0,99999996560.0313,21599999.752313137,0.0,-9.555467959341307,29999.998967971438,0.0,-877172568.7866387,ok
730.0,99999996463.81305,21899999.74184885,0.0,-9.688182792003396,29999.9989391049,0.0,-877172568.7866383,ok
